Wine Name,Year/Age,Variety,Color,Price,Location,Like?
Confetti!,2020,pino grigio,white,12,italy,yes
Apothic red,2019,red blend,red,12,usa,yes
7 Moons,2019,red blend,red,19,usa,no
Liberty Creek,2021,pino grigio,white,9,usa,yes
Barefoot,2021,moscato,white,5,usa,yes
Heitz Cellar,2016,cabernet sauvignon,red,65,usa,no
St James,2021,red blend,white,13,usa,no
Justin,2018,cabernet sauvignon,red,23,usa,no
Ruffino,2020,pino grigio,white,10,usa,yes
Santa Margarita,2020,pino grigio,white,22,italy,yes
Ste Chateau Michelle,2020,reisling,white,8,usa,yes
Woodbridge,2021,chardonnay,white,6,usa,no
Belle Glos,2018,pino noir,red,50,usa,no
Chateauneuf-du-pape,2018,red blend,red,58,france,yes
Clos Du Bois,1995,cabernet sauvignon,red,50,usa,yes
Coast,2020,chardonnay,white,7,usa,yes
Low Hanging Fruit,2021,pino grigio,white,9,usa,yes
Mason,2020,sauvignon blanc,white,32,usa,no
Stella Rosa,2019,moscato,white,13,italy,yes
rodney strong,2018,cabernet sauvignon,red,13,usa,no
phantom,2017,red blend,red,24,usa,yes
19 Crimes uprising,2020,red blend,red,12,australia,yes
19 Crimes Cali Blend,2020,red blend,red,12,usa,no
Ecco Domani,2020,pino grigio,white,9,italy,no
Yellow Tail,2021,pino grigio,white,5,australia,yes
Confetti!,2020,pino grigio,white,12,italy,yes
Apothic red,2019,red blend,red,12,usa,yes
7 Moons,2019,red blend,red,19,usa,no
Liberty Creek,2021,pino grigio,white,9,usa,yes
Barefoot,2021,moscato,white,5,usa,yes
Heitz Cellar,2016,cabernet sauvignon,red,65,usa,no
St James,2021,red blend,white,13,usa,no
Justin,2018,cabernet sauvignon,red,23,usa,no
Ruffino,2020,pino grigio,white,10,usa,yes
Santa Margarita,2020,pino grigio,white,22,italy,yes
Ste Chateau Michelle,2020,reisling,white,8,usa,yes
Woodbridge,2021,chardonnay,white,6,usa,no
Belle Glos,2018,pino noir,red,50,usa,no
Chateauneuf-du-pape,2018,red blend,red,58,france,yes
Clos Du Bois,1995,cabernet sauvignon,red,50,usa,yes
Coast,2020,chardonnay,white,7,usa,yes
Low Hanging Fruit,2021,pino grigio,white,9,usa,yes
Mason,2020,sauvignon blanc,white,32,usa,no
Stella Rosa,2019,moscato,white,13,italy,yes
rodney strong,2018,cabernet sauvignon,red,13,usa,no
phantom,2017,red blend,red,24,usa,yes
19 Crimes uprising,2020,red blend,red,12,australia,yes
19 Crimes Cali Blend,2020,red blend,red,12,usa,no
Ecco Domani,2020,pino grigio,white,9,italy,no
Yellow Tail,2021,pino grigio,white,5,australia,yes
Confetti!,2020,pino grigio,white,12,italy,yes
Apothic red,2019,red blend,red,12,usa,yes
7 Moons,2019,red blend,red,19,usa,no
Liberty Creek,2021,pino grigio,white,9,usa,yes
Barefoot,2021,moscato,white,5,usa,yes
Heitz Cellar,2016,cabernet sauvignon,red,65,usa,no
St James,2021,red blend,white,13,usa,no
Justin,2018,cabernet sauvignon,red,23,usa,no
Ruffino,2020,pino grigio,white,10,usa,yes
Santa Margarita,2020,pino grigio,white,22,italy,yes
Ste Chateau Michelle,2020,reisling,white,8,usa,yes
Woodbridge,2021,chardonnay,white,6,usa,yes
Belle Glos,2018,pino noir,red,50,usa,no
Chateauneuf-du-pape,2018,red blend,red,58,france,yes
Clos Du Bois,1995,cabernet sauvignon,red,50,usa,yes
Coast,2020,chardonnay,white,7,usa,yes
Low Hanging Fruit,2021,pino grigio,white,9,usa,yes
Mason,2020,sauvignon blanc,white,32,usa,no
Stella Rosa,2019,moscato,white,13,italy,yes
rodney strong,2018,cabernet sauvignon,red,13,usa,no
phantom,2017,red blend,red,24,usa,yes
19 Crimes uprising,2020,red blend,red,12,australia,yes
19 Crimes Cali Blend,2020,red blend,red,12,usa,no
Ecco Domani,2020,pino grigio,white,9,italy,no
Yellow Tail,2021,pino grigio,white,5,australia,yes
Confetti!,2020,pino grigio,white,12,italy,yes
Apothic red,2019,red blend,red,12,usa,yes
7 Moons,2019,red blend,red,19,usa,no
Liberty Creek,2021,pino grigio,white,9,usa,yes
Barefoot,2021,moscato,white,5,usa,yes
Heitz Cellar,2016,cabernet sauvignon,red,65,usa,no
St James,2021,red blend,white,13,usa,yes
Justin,2018,cabernet sauvignon,red,23,usa,no
Ruffino,2020,pino grigio,white,10,usa,yes
Santa Margarita,2020,pino grigio,white,22,italy,yes
Ste Chateau Michelle,2020,reisling,white,8,usa,yes
Woodbridge,2021,chardonnay,white,6,usa,no
Belle Glos,2018,pino noir,red,50,usa,no
Chateauneuf-du-pape,2018,red blend,red,58,france,yes
Clos Du Bois,1995,cabernet sauvignon,red,50,usa,yes
Coast,2020,chardonnay,white,7,usa,no
Low Hanging Fruit,2021,pino grigio,white,9,usa,yes
Mason,2020,sauvignon blanc,white,32,usa,no
Stella Rosa,2019,moscato,white,13,italy,yes
rodney strong,2018,cabernet sauvignon,red,13,usa,no
phantom,2017,red blend,red,24,usa,yes
19 Crimes uprising,2020,red blend,red,12,australia,yes
19 Crimes Cali Blend,2020,red blend,red,12,usa,yes
Ecco Domani,2020,pino grigio,white,9,italy,yes
Yellow Tail,2021,pino grigio,white,5,australia,yes
